,DISYR,STATE_NAME,Imp_Year,count
0,2009.0, KANSAS,Never,9511
1,2009.0,ALASKA,2015,2225
2,2009.0,ARIZONA,2014,15044
3,2009.0,ARKANSAS,2014,5917
4,2009.0,CALIFORNIA,2014,109953
5,2009.0,COLORADO,2014,15566
6,2009.0,CONNECTICUT,2014,11472
7,2009.0,DELAWARE,2014,3180
8,2009.0,FLORIDA,Never,20219
9,2009.0,HAWAII ,2014,3212
10,2009.0,IDAHO,Never,2916
11,2009.0,ILLINOIS ,2014,28115
12,2009.0,INDIANA,2015,10893
13,2009.0,IOWA,2014,16744
14,2009.0,KENTUCKY,2014,9207
15,2009.0,LOUISIANA,2016,9528
16,2009.0,MAINE,Never,6827
17,2009.0,MARYLAND,2014,27579
18,2009.0,MASSACHUSETTS,2014,19798
19,2009.0,MICHIGAN ,2014,30925
20,2009.0,MINNESOTA,2014,1034
21,2009.0,MISSOURI,Never,17518
22,2009.0,MONTANA,2016,4733
23,2009.0,NEBRASKA,Never,2671
24,2009.0,NEVADA,2014,5277
25,2009.0,NEW HAMPSHIRE ,2014,3079
26,2009.0,NEW JERSEY,2014,23093
27,2009.0,NEW YORK,2014,130032
28,2009.0,NORTH DAKOTA,2014,1372
29,2009.0,OHIO,2014,51706
30,2009.0,OKLAHOMA,Never,8570
31,2009.0,RHODE ISLAND,2014,4789
32,2009.0,SOUTH DAKOTA,Never,3314
33,2009.0,TENNESSEE,Never,910
34,2009.0,TEXAS,Never,9127
35,2009.0,UTAH,Never,8109
36,2009.0,VERMONT,2014,3595
37,2009.0,WISCONSIN,Never,11366
38,2009.0,WYOMING,Never,1196
39,2010.0, KANSAS,Never,8961
40,2010.0,ALABAMA,Never,42
41,2010.0,ALASKA,2015,2614
42,2010.0,ARIZONA,2014,16548
43,2010.0,ARKANSAS,2014,6297
44,2010.0,CALIFORNIA,2014,100613
45,2010.0,COLORADO,2014,17758
46,2010.0,CONNECTICUT,2014,12110
47,2010.0,DELAWARE,2014,2995
48,2010.0,FLORIDA,Never,20582
49,2010.0,HAWAII ,2014,3580
50,2010.0,IDAHO,Never,501
51,2010.0,ILLINOIS ,2014,41109
52,2010.0,INDIANA,2015,9402
53,2010.0,IOWA,2014,18709
54,2010.0,KENTUCKY,2014,20129
55,2010.0,LOUISIANA,2016,9833
56,2010.0,MAINE,Never,5787
57,2010.0,MARYLAND,2014,22515
58,2010.0,MASSACHUSETTS,2014,20852
59,2010.0,MICHIGAN ,2014,28375
60,2010.0,MINNESOTA,2014,926
61,2010.0,MISSOURI,Never,18089
62,2010.0,MONTANA,2016,4614
63,2010.0,NEBRASKA,Never,4007
64,2010.0,NEVADA,2014,5052
65,2010.0,NEW HAMPSHIRE ,2014,3256
66,2010.0,NEW JERSEY,2014,25148
67,2010.0,NEW MEXICO ,2014,5314
68,2010.0,NEW YORK,2014,141853
69,2010.0,NORTH CAROLINA,Never,60295
70,2010.0,NORTH DAKOTA,2014,1285
71,2010.0,OHIO,2014,46002
72,2010.0,OKLAHOMA,Never,6107
73,2010.0,RHODE ISLAND,2014,5298
74,2010.0,SOUTH DAKOTA,Never,3308
75,2010.0,TENNESSEE,Never,1068
76,2010.0,TEXAS,Never,13224
77,2010.0,UTAH,Never,7666
78,2010.0,VERMONT,2014,4818
79,2010.0,WISCONSIN,Never,12182
80,2010.0,WYOMING,Never,1599
81,2011.0, KANSAS,Never,9387
82,2011.0,ALABAMA,Never,186
