,DISYR,STATE_NAME,Imp_Year,count
0,2009.0, KANSAS,Never,9424
1,2009.0,ALASKA,2015,760
2,2009.0,ARKANSAS,2014,5415
3,2009.0,COLORADO,2014,12407
4,2009.0,DELAWARE,2014,19
5,2009.0,HAWAII ,2014,2030
6,2009.0,IDAHO,Never,2767
7,2009.0,ILLINOIS ,2014,10312
8,2009.0,IOWA,2014,16420
9,2009.0,KENTUCKY,2014,8637
10,2009.0,LOUISIANA,2016,6063
11,2009.0,MAINE,Never,25
12,2009.0,MISSOURI,Never,16802
13,2009.0,MONTANA,2016,4705
14,2009.0,NEBRASKA,Never,547
15,2009.0,NEVADA,2014,26
16,2009.0,NEW HAMPSHIRE ,2014,8
17,2009.0,NEW JERSEY,2014,12627
18,2009.0,NORTH DAKOTA,2014,1240
19,2009.0,OHIO,2014,25852
20,2009.0,RHODE ISLAND,2014,79
21,2009.0,SOUTH DAKOTA,Never,3038
22,2009.0,WYOMING,Never,182
23,2010.0, KANSAS,Never,8903
24,2010.0,ALABAMA,Never,12
25,2010.0,ALASKA,2015,1671
26,2010.0,ARKANSAS,2014,5782
27,2010.0,COLORADO,2014,13268
28,2010.0,DELAWARE,2014,5
29,2010.0,HAWAII ,2014,2379
30,2010.0,IDAHO,Never,476
31,2010.0,ILLINOIS ,2014,14514
32,2010.0,IOWA,2014,18395
33,2010.0,KENTUCKY,2014,19377
34,2010.0,LOUISIANA,2016,6235
35,2010.0,MAINE,Never,39
36,2010.0,MISSOURI,Never,17538
37,2010.0,MONTANA,2016,4582
38,2010.0,NEBRASKA,Never,3272
39,2010.0,NEW HAMPSHIRE ,2014,117
40,2010.0,NEW JERSEY,2014,15916
41,2010.0,NEW MEXICO ,2014,1603
42,2010.0,NORTH DAKOTA,2014,1152
43,2010.0,OHIO,2014,39270
44,2010.0,RHODE ISLAND,2014,2439
45,2010.0,SOUTH DAKOTA,Never,2995
46,2010.0,WYOMING,Never,23
47,2011.0, KANSAS,Never,9332
48,2011.0,ALABAMA,Never,35
49,2011.0,ALASKA,2015,1881
50,2011.0,ARKANSAS,2014,3042
51,2011.0,COLORADO,2014,12782
52,2011.0,DELAWARE,2014,15
53,2011.0,DISTRICT OF COLUMBIA,2014,1853
54,2011.0,HAWAII ,2014,2450
55,2011.0,IDAHO,Never,3164
56,2011.0,ILLINOIS ,2014,15361
57,2011.0,IOWA,2014,17424
58,2011.0,KENTUCKY,2014,20847
59,2011.0,LOUISIANA,2016,4752
60,2011.0,MAINE,Never,46
61,2011.0,MISSOURI,Never,12831
62,2011.0,MONTANA,2016,5073
63,2011.0,NEBRASKA,Never,3637
64,2011.0,NEW HAMPSHIRE ,2014,2333
65,2011.0,NEW JERSEY,2014,19210
66,2011.0,NEW MEXICO ,2014,2906
67,2011.0,NORTH DAKOTA,2014,758
68,2011.0,OHIO,2014,31883
69,2011.0,RHODE ISLAND,2014,3371
70,2011.0,SOUTH DAKOTA,Never,3054
71,2011.0,WYOMING,Never,5
72,2012.0,ALABAMA,Never,35
73,2012.0,ALASKA,2015,1759
74,2012.0,ARKANSAS,2014,2529
75,2012.0,COLORADO,2014,13953
76,2012.0,DELAWARE,2014,17
77,2012.0,DISTRICT OF COLUMBIA,2014,1623
78,2012.0,HAWAII ,2014,2501
79,2012.0,IDAHO,Never,3544
80,2012.0,ILLINOIS ,2014,8600
81,2012.0,IOWA,2014,17437
82,2012.0,KENTUCKY,2014,22549
83,2012.0,LOUISIANA,2016,3547
84,2012.0,MAINE,Never,48
85,2012.0,MISSOURI,Never,14650
86,2012.0,MONTANA,2016,5168
87,2012.0,NEBRASKA,Never,3644
88,2012.0,NEW HAMPSHIRE ,2014,1980
89,2012.0,NEW JERSEY,2014,18248
90,2012.0,NORTH DAKOTA,2014,510
91,2012.0,OHIO,2014,18217
92,2012.0,PENNSYLVANIA,2015,15
93,2012.0,RHODE ISLAND,2014,3647
94,2012.0,SOUTH DAKOTA,Never,3120
95,2013.0, KANSAS,Never,5481
96,2013.0,ALABAMA,Never,276
97,2013.0,ALASKA,2015,2464
98,2013.0,ARKANSAS,2014,2944
99,2013.0,COLORADO,2014,14907
100,2013.0,DELAWARE,2014,12
101,2013.0,DISTRICT OF COLUMBIA,2014,1588
102,2013.0,HAWAII ,2014,2512
103,2013.0,IDAHO,Never,2926
104,2013.0,ILLINOIS ,2014,7500
105,2013.0,IOWA,2014,18356
106,2013.0,KENTUCKY,2014,21689
107,2013.0,LOUISIANA,2016,692
108,2013.0,MAINE,Never,127
109,2013.0,MISSOURI,Never,13406
110,2013.0,MONTANA,2016,4802
111,2013.0,NEBRASKA,Never,3370
112,2013.0,NEW HAMPSHIRE ,2014,2085
113,2013.0,NEW JERSEY,2014,16366
114,2013.0,NORTH DAKOTA,2014,468
115,2013.0,OHIO,2014,19876
116,2013.0,PENNSYLVANIA,2015,9880
117,2013.0,RHODE ISLAND,2014,3441
118,2013.0,SOUTH DAKOTA,Never,3241
119,2014.0,ALABAMA,Never,362
120,2014.0,ALASKA,2015,2811
121,2014.0,ARKANSAS,2014,1962
122,2014.0,COLORADO,2014,13473
123,2014.0,DELAWARE,2014,11
124,2014.0,DISTRICT OF COLUMBIA,2014,1464
125,2014.0,HAWAII ,2014,2190
126,2014.0,IDAHO,Never,2993
127,2014.0,ILLINOIS ,2014,8917
128,2014.0,IOWA,2014,17011
129,2014.0,KENTUCKY,2014,24204
130,2014.0,LOUISIANA,2016,1093
131,2014.0,MAINE,Never,367
132,2014.0,MISSOURI,Never,11766
133,2014.0,MONTANA,2016,3511
134,2014.0,NEBRASKA,Never,2561
135,2014.0,NEVADA,2014,25
136,2014.0,NEW HAMPSHIRE ,2014,1873
137,2014.0,NEW JERSEY,2014,17921
138,2014.0,NORTH DAKOTA,2014,462
139,2014.0,OHIO,2014,21769
140,2014.0,PENNSYLVANIA,2015,10670
141,2014.0,RHODE ISLAND,2014,3080
142,2014.0,SOUTH DAKOTA,Never,3053
143,2015.0, KANSAS,Never,298
144,2015.0,ALABAMA,Never,126
145,2015.0,ALASKA,2015,2646
146,2015.0,ARKANSAS,2014,1674
147,2015.0,COLORADO,2014,10549
148,2015.0,DELAWARE,2014,36
149,2015.0,DISTRICT OF COLUMBIA,2014,1288
150,2015.0,HAWAII ,2014,2156
151,2015.0,IDAHO,Never,3461
152,2015.0,ILLINOIS ,2014,9156
153,2015.0,IOWA,2014,16806
154,2015.0,KENTUCKY,2014,30932
155,2015.0,LOUISIANA,2016,670
156,2015.0,MAINE,Never,3213
157,2015.0,MARYLAND,2014,7378
158,2015.0,MISSOURI,Never,12177
159,2015.0,MONTANA,2016,3430
160,2015.0,NEBRASKA,Never,2867
161,2015.0,NEVADA,2014,80
162,2015.0,NEW HAMPSHIRE ,2014,1986
163,2015.0,NEW JERSEY,2014,20112
164,2015.0,NEW MEXICO ,2014,236
165,2015.0,NORTH DAKOTA,2014,558
166,2015.0,OHIO,2014,20003
167,2015.0,PENNSYLVANIA,2015,5661
168,2015.0,RHODE ISLAND,2014,3431
169,2015.0,SOUTH DAKOTA,Never,2826
170,2015.0,WYOMING,Never,1703
171,2016.0, KANSAS,Never,5704
172,2016.0,ALABAMA,Never,221
173,2016.0,ALASKA,2015,2894
174,2016.0,ARKANSAS,2014,2983
175,2016.0,COLORADO,2014,9814
176,2016.0,DELAWARE,2014,16
177,2016.0,DISTRICT OF COLUMBIA,2014,802
178,2016.0,HAWAII ,2014,2152
179,2016.0,IDAHO,Never,3006
180,2016.0,ILLINOIS ,2014,7293
181,2016.0,IOWA,2014,16078
182,2016.0,KENTUCKY,2014,31827
183,2016.0,LOUISIANA,2016,399
184,2016.0,MAINE,Never,4370
185,2016.0,MARYLAND,2014,9771
186,2016.0,MISSOURI,Never,10892
187,2016.0,MONTANA,2016,3299
188,2016.0,NEBRASKA,Never,4424
189,2016.0,NEVADA,2014,49
190,2016.0,NEW HAMPSHIRE ,2014,2013
191,2016.0,NEW JERSEY,2014,24525
192,2016.0,NEW MEXICO ,2014,132
193,2016.0,NORTH DAKOTA,2014,14
194,2016.0,OHIO,2014,15958
195,2016.0,PENNSYLVANIA,2015,5788
196,2016.0,RHODE ISLAND,2014,3767
197,2016.0,SOUTH DAKOTA,Never,3200
198,2016.0,WYOMING,Never,1739
199,2017.0, KANSAS,Never,6162
200,2017.0,ALABAMA,Never,305
201,2017.0,ALASKA,2015,2789
202,2017.0,ARKANSAS,2014,2874
203,2017.0,COLORADO,2014,12675
204,2017.0,DELAWARE,2014,33
205,2017.0,DISTRICT OF COLUMBIA,2014,1024
206,2017.0,HAWAII ,2014,2168
207,2017.0,IDAHO,Never,3294
208,2017.0,ILLINOIS ,2014,263
209,2017.0,IOWA,2014,15335
210,2017.0,KENTUCKY,2014,36081
211,2017.0,LOUISIANA,2016,841
212,2017.0,MAINE,Never,3521
213,2017.0,MARYLAND,2014,9516
214,2017.0,MISSOURI,Never,10745
215,2017.0,MONTANA,2016,1903
216,2017.0,NEBRASKA,Never,2816
217,2017.0,NEVADA,2014,208
218,2017.0,NEW HAMPSHIRE ,2014,2182
219,2017.0,NEW JERSEY,2014,24865
220,2017.0,NEW MEXICO ,2014,67
221,2017.0,NORTH DAKOTA,2014,22
222,2017.0,OHIO,2014,14406
