,state,year,medicaid_use,row
0, KANSAS,2009.0,20.176637577541793,0
1, KANSAS,2010.0,23.12241937283785,5
2, KANSAS,2011.0,24.22499201022691,10
3, KANSAS,2013.0,22.40566037735849,15
4, KANSAS,2015.0,5.722070844686648,20
5, KANSAS,2016.0,58.548690741057676,25
6, KANSAS,2017.0,64.39314445610353,30
7, KANSAS,2018.0,50.12263489838823,35
8, KANSAS,2019.0,0.1128031584884377,40
9,28.0,2015.0,0.2700457000415455,45
10,28.0,2016.0,0.33639829558196904,50
11,28.0,2017.0,1.7964071856287425,55
12,28.0,2019.0,68.67690058479532,60
13,ALABAMA,2010.0,4.761904761904762,65
14,ALABAMA,2011.0,0.5208333333333333,70
15,ALABAMA,2012.0,0.546448087431694,75
16,ALABAMA,2013.0,0.424929178470255,80
17,ALABAMA,2014.0,0.4513540621865597,85
18,ALABAMA,2015.0,0.34324942791762014,90
19,ALABAMA,2016.0,0.2077922077922078,95
20,ALABAMA,2017.0,0.2177293934681182,100
21,ALABAMA,2018.0,0.24559967253376994,105
22,ALABAMA,2019.0,0.24529844644317253,110
23,ALASKA,2009.0,0.6808510638297872,115
24,ALASKA,2010.0,0.698016164584864,120
25,ALASKA,2011.0,0.3523608174770966,125
26,ALASKA,2012.0,0.5021520803443328,130
27,ALASKA,2013.0,0.40372670807453415,135
28,ALASKA,2014.0,1.2998522895125553,140
29,ALASKA,2015.0,0.740108169655565,145
30,ALASKA,2016.0,0.41851304775972425,150
31,ALASKA,2017.0,1.0598682325981095,155
32,ALASKA,2018.0,0.8771929824561403,160
33,ALASKA,2019.0,0.20427781783225185,165
34,ARIZONA,2010.0,18.02634015621085,170
35,ARIZONA,2015.0,12.159559053328408,175
36,ARIZONA,2018.0,14.941883610590823,180
37,ARIZONA,2019.0,7.6923076923076925,185
38,ARKANSAS,2009.0,36.72895650735902,190
39,ARKANSAS,2010.0,55.45332136445242,195
40,ARKANSAS,2011.0,43.211920529801326,200
41,ARKANSAS,2012.0,35.17684887459807,205
42,ARKANSAS,2013.0,52.17096336499322,210
43,ARKANSAS,2014.0,39.61274707543364,215
44,ARKANSAS,2015.0,21.44092219020173,220
45,ARKANSAS,2016.0,29.853479853479854,225
46,ARKANSAS,2017.0,15.2903990517582,230
47,ARKANSAS,2018.0,12.718052738336713,235
48,ARKANSAS,2019.0,0.22810649271995273,240
49,CALIFORNIA,2013.0,18.984547461368653,245
50,CALIFORNIA,2018.0,44.115051587433236,250
51,COLORADO,2009.0,1.6655562958027983,255
52,COLORADO,2010.0,1.6335186565025508,260
53,COLORADO,2011.0,1.8628637583539442,265
54,COLORADO,2012.0,2.2516964836520668,270
55,COLORADO,2013.0,2.5142360775986874,275
56,COLORADO,2014.0,3.25668390361976,280
57,COLORADO,2015.0,3.5366870483602,285
58,COLORADO,2016.0,3.17635516311013,290
59,COLORADO,2017.0,4.421294894312882,295
60,COLORADO,2018.0,3.205242776288353,300
61,COLORADO,2019.0,1.2714985053935797,305
62,CONNECTICUT,2012.0,18.248571400373066,310
63,CONNECTICUT,2017.0,32.82603956618889,315
64,DELAWARE,2009.0,96.8503937007874,320
65,DELAWARE,2010.0,93.41763942931259,325
66,DELAWARE,2011.0,87.41328047571854,330
67,DELAWARE,2012.0,87.4051593323217,335
68,DELAWARE,2013.0,87.04839809134288,340
69,DELAWARE,2014.0,85.0660950339407,345
70,DELAWARE,2015.0,87.41770299926847,350
71,DELAWARE,2016.0,80.6932296728215,355
72,DELAWARE,2017.0,64.42076314884841,360
73,DELAWARE,2018.0,69.94285714285714,365
74,DELAWARE,2019.0,34.1974338832155,370
75,DISTRICT OF COLUMBIA,2011.0,3.9366298607777246,375
76,DISTRICT OF COLUMBIA,2012.0,2.401635155850792,380
77,DISTRICT OF COLUMBIA,2013.0,1.335656213704994,385
78,DISTRICT OF COLUMBIA,2014.0,1.688951442646024,390
79,DISTRICT OF COLUMBIA,2015.0,2.4416135881104037,395
80,DISTRICT OF COLUMBIA,2016.0,1.0221465076660987,400
81,DISTRICT OF COLUMBIA,2017.0,1.8726591760299627,405
82,DISTRICT OF COLUMBIA,2018.0,0.5219206680584552,410
83,DISTRICT OF COLUMBIA,2019.0,0.00889015326624231,415
84,FLORIDA,2012.0,7.947330447330447,420
85,FLORIDA,2019.0,0.9781089892873778,425
86,HAWAII ,2009.0,75.11933174224343,430
87,HAWAII ,2010.0,76.10768367919238,435
88,HAWAII ,2011.0,78.25844264582751,440
89,HAWAII ,2012.0,81.42259414225941,445
90,HAWAII ,2013.0,46.871049304677626,450
91,HAWAII ,2014.0,1.95364238410596,455
92,HAWAII ,2015.0,1.876675603217158,460
93,HAWAII ,2016.0,0.0355998576005696,465
94,HAWAII ,2017.0,0.08536064874093044,470
95,HAWAII ,2019.0,0.10554089709762532,475
96,IDAHO,2009.0,84.65157306674507,480
97,IDAHO,2011.0,0.24360535931790497,485
98,IDAHO,2012.0,0.02575328354365182,490
99,IDAHO,2013.0,79.6276308688613,495
100,IDAHO,2014.0,81.87209902011347,500
101,IDAHO,2015.0,90.84892743039707,505
102,IDAHO,2016.0,94.15013808686919,510
103,IDAHO,2017.0,95.10027347310847,515
104,IDAHO,2018.0,93.62519201228878,520
105,IDAHO,2019.0,33.06195965417867,525
106,ILLINOIS ,2009.0,55.55035275020291,530
107,ILLINOIS ,2010.0,63.322615219721335,535
108,ILLINOIS ,2011.0,73.16591505290772,540
109,ILLINOIS ,2012.0,64.19315172152857,545
110,ILLINOIS ,2013.0,57.39376770538244,550
111,ILLINOIS ,2014.0,48.41075794621027,555
112,ILLINOIS ,2015.0,42.145446132490164,560
113,ILLINOIS ,2016.0,32.15823735603405,565
114,ILLINOIS ,2017.0,58.16357741481617,570
115,ILLINOIS ,2018.0,53.20843330440553,575
116,ILLINOIS ,2019.0,20.7866025787747,580
117,INDIANA,2011.0,19.701495422865374,585
118,INDIANA,2016.0,23.65829145728643,590
119,IOWA,2009.0,1.0032287822878228,595
120,IOWA,2010.0,1.0484434647024035,600
121,IOWA,2011.0,0.8572389063200357,605
122,IOWA,2012.0,1.0252675219900274,610
123,IOWA,2013.0,1.2833905387255633,615
124,IOWA,2014.0,1.2093844077649745,620
125,IOWA,2015.0,0.8233199821984869,625
126,IOWA,2016.0,0.9076701130079347,630
127,IOWA,2017.0,1.0214756015014461,635
128,IOWA,2018.0,1.2779552715654952,640
129,IOWA,2019.0,2.174683843517315,645
130,KENTUCKY,2009.0,0.5893058323944883,650
131,KENTUCKY,2010.0,0.7496463932107497,655
132,KENTUCKY,2011.0,1.1677087164398676,660
133,KENTUCKY,2012.0,0.8503333466405845,665
134,KENTUCKY,2013.0,0.6238825274850687,670
135,KENTUCKY,2014.0,0.6461183451458711,675
136,KENTUCKY,2015.0,0.6854531607006854,680
137,KENTUCKY,2016.0,1.1782560706401766,685
138,KENTUCKY,2017.0,1.0467805412423419,690
139,KENTUCKY,2018.0,0.8568473925247452,695
140,KENTUCKY,2019.0,2.527829313543599,700
141,LOUISIANA,2009.0,0.4567632097996471,705
