,Unnamed: 0,STATE_NAME,DISYR,Race_Categ,count
0,0, KANSAS,2009.0, ALASKAN NATIVE,5
1,1, KANSAS,2009.0,AMERICAN INDIAN,272
2,2, KANSAS,2009.0,ASIAN,45
3,3, KANSAS,2009.0,BLACK OR AFRICAN AMERICAN ,1320
4,4, KANSAS,2009.0,MISSING,2
5,5, KANSAS,2009.0,ASIAN OR PACIFIC ISLANDER,36
6,6, KANSAS,2009.0,OTHER SINGLE RACE,814
7,7, KANSAS,2009.0,WHITE,7017
8,8, KANSAS,2010.0, ALASKAN NATIVE,10
9,9, KANSAS,2010.0,AMERICAN INDIAN,232
10,10, KANSAS,2010.0,ASIAN,35
11,11, KANSAS,2010.0,BLACK OR AFRICAN AMERICAN ,1309
12,12, KANSAS,2010.0,MISSING,3
13,13, KANSAS,2010.0,ASIAN OR PACIFIC ISLANDER,53
14,14, KANSAS,2010.0,OTHER SINGLE RACE,749
15,15, KANSAS,2010.0,WHITE,6570
16,16, KANSAS,2011.0, ALASKAN NATIVE,6
17,17, KANSAS,2011.0,AMERICAN INDIAN,221
18,18, KANSAS,2011.0,ASIAN,39
19,19, KANSAS,2011.0,BLACK OR AFRICAN AMERICAN ,1369
20,20, KANSAS,2011.0,MISSING,2
21,21, KANSAS,2011.0,ASIAN OR PACIFIC ISLANDER,58
22,22, KANSAS,2011.0,OTHER SINGLE RACE,790
23,23, KANSAS,2011.0,WHITE,6902
24,24, KANSAS,2013.0, ALASKAN NATIVE,6
25,25, KANSAS,2013.0,AMERICAN INDIAN,148
26,26, KANSAS,2013.0,ASIAN,22
27,27, KANSAS,2013.0,BLACK OR AFRICAN AMERICAN ,817
28,28, KANSAS,2013.0,ASIAN OR PACIFIC ISLANDER,27
29,29, KANSAS,2013.0,OTHER SINGLE RACE,453
30,30, KANSAS,2013.0,WHITE,4039
31,31, KANSAS,2015.0,ASIAN,5
32,32, KANSAS,2015.0,OTHER SINGLE RACE,21
33,33, KANSAS,2015.0,AMERICAN INDIAN,7
34,34, KANSAS,2015.0,BLACK OR AFRICAN AMERICAN ,34
35,35, KANSAS,2015.0,WHITE,236
36,36, KANSAS,2016.0, ALASKAN NATIVE,4
37,37, KANSAS,2016.0,ASIAN,29
38,38, KANSAS,2016.0,OTHER SINGLE RACE,472
39,39, KANSAS,2016.0,ASIAN OR PACIFIC ISLANDER,16
40,40, KANSAS,2016.0,AMERICAN INDIAN,167
41,41, KANSAS,2016.0,BLACK OR AFRICAN AMERICAN ,829
42,42, KANSAS,2016.0,WHITE,4214
43,43, KANSAS,2017.0, ALASKAN NATIVE,14
44,44, KANSAS,2017.0,ASIAN,21
45,45, KANSAS,2017.0,OTHER SINGLE RACE,482
46,46, KANSAS,2017.0,ASIAN OR PACIFIC ISLANDER,18
47,47, KANSAS,2017.0,AMERICAN INDIAN,174
48,48, KANSAS,2017.0,BLACK OR AFRICAN AMERICAN ,909
49,49, KANSAS,2017.0,MISSING,2
50,50, KANSAS,2017.0,WHITE,4583
51,51, KANSAS,2018.0, ALASKAN NATIVE,11
52,52, KANSAS,2018.0,ASIAN,33
53,53, KANSAS,2018.0,OTHER SINGLE RACE,369
54,54, KANSAS,2018.0,ASIAN OR PACIFIC ISLANDER,17
55,55, KANSAS,2018.0,AMERICAN INDIAN,127
56,56, KANSAS,2018.0,BLACK OR AFRICAN AMERICAN ,671
57,57, KANSAS,2018.0,MISSING,1
58,58, KANSAS,2018.0,WHITE,3459
59,59, KANSAS,2019.0, ALASKAN NATIVE,3
60,60, KANSAS,2019.0,ASIAN,13
61,61, KANSAS,2019.0,OTHER SINGLE RACE,120
62,62, KANSAS,2019.0,TWO OR MORE RACES,27
63,63, KANSAS,2019.0,ASIAN OR PACIFIC ISLANDER,4
64,64, KANSAS,2019.0,AMERICAN INDIAN,52
65,65, KANSAS,2019.0,BLACK OR AFRICAN AMERICAN ,238
66,66, KANSAS,2019.0,MISSING,84
67,67, KANSAS,2019.0,WHITE,1649
68,68,28.0,2015.0,ASIAN,2
69,69,28.0,2015.0,OTHER SINGLE RACE,5
70,70,28.0,2015.0,TWO OR MORE RACES,10
71,71,28.0,2015.0,AMERICAN INDIAN,5
72,72,28.0,2015.0,BLACK OR AFRICAN AMERICAN ,607
73,73,28.0,2015.0,MISSING,9
74,74,28.0,2015.0,WHITE,1385
75,75,28.0,2016.0,ASIAN,2
76,76,28.0,2016.0,OTHER SINGLE RACE,18
77,77,28.0,2016.0,TWO OR MORE RACES,14
78,78,28.0,2016.0,ASIAN OR PACIFIC ISLANDER,1
79,79,28.0,2016.0,AMERICAN INDIAN,18
80,80,28.0,2016.0,BLACK OR AFRICAN AMERICAN ,1470
81,81,28.0,2016.0,MISSING,23
82,82,28.0,2016.0,WHITE,3022
83,83,28.0,2017.0,ASIAN,7
84,84,28.0,2017.0,OTHER SINGLE RACE,18
85,85,28.0,2017.0,TWO OR MORE RACES,19
86,86,28.0,2017.0,ASIAN OR PACIFIC ISLANDER,1
87,87,28.0,2017.0,AMERICAN INDIAN,13
88,88,28.0,2017.0,BLACK OR AFRICAN AMERICAN ,1331
89,89,28.0,2017.0,MISSING,27
90,90,28.0,2017.0,WHITE,3130
91,91,28.0,2018.0,ASIAN,11
92,92,28.0,2018.0,OTHER SINGLE RACE,28
93,93,28.0,2018.0,TWO OR MORE RACES,17
94,94,28.0,2018.0,AMERICAN INDIAN,17
95,95,28.0,2018.0,BLACK OR AFRICAN AMERICAN ,1640
96,96,28.0,2018.0,MISSING,26
97,97,28.0,2018.0,WHITE,3837
98,98,28.0,2019.0,ASIAN,6
99,99,28.0,2019.0,OTHER SINGLE RACE,11
100,100,28.0,2019.0,TWO OR MORE RACES,8
101,101,28.0,2019.0,AMERICAN INDIAN,7
102,102,28.0,2019.0,BLACK OR AFRICAN AMERICAN ,835
103,103,28.0,2019.0,MISSING,22
104,104,28.0,2019.0,WHITE,1847
105,105,ALABAMA,2010.0, ALASKAN NATIVE,1
106,106,ALABAMA,2010.0,AMERICAN INDIAN,1
107,107,ALABAMA,2010.0,BLACK OR AFRICAN AMERICAN ,10
108,108,ALABAMA,2010.0,MISSING,1
109,109,ALABAMA,2010.0,OTHER SINGLE RACE,2
110,110,ALABAMA,2010.0,WHITE,27
111,111,ALABAMA,2011.0,AMERICAN INDIAN,2
112,112,ALABAMA,2011.0,BLACK OR AFRICAN AMERICAN ,42
113,113,ALABAMA,2011.0,MISSING,8
114,114,ALABAMA,2011.0,OTHER SINGLE RACE,3
115,115,ALABAMA,2011.0,TWO OR MORE RACES,4
116,116,ALABAMA,2011.0,WHITE,127
117,117,ALABAMA,2012.0,AMERICAN INDIAN,3
118,118,ALABAMA,2012.0,ASIAN,1
119,119,ALABAMA,2012.0,BLACK OR AFRICAN AMERICAN ,40
120,120,ALABAMA,2012.0,MISSING,83
121,121,ALABAMA,2012.0,OTHER SINGLE RACE,2
122,122,ALABAMA,2012.0,TWO OR MORE RACES,2
123,123,ALABAMA,2012.0,WHITE,140
124,124,ALABAMA,2013.0,AMERICAN INDIAN,5
125,125,ALABAMA,2013.0,ASIAN,1
126,126,ALABAMA,2013.0,BLACK OR AFRICAN AMERICAN ,284
127,127,ALABAMA,2013.0,MISSING,217
128,128,ALABAMA,2013.0,ASIAN OR PACIFIC ISLANDER,2
129,129,ALABAMA,2013.0,OTHER SINGLE RACE,8
130,130,ALABAMA,2013.0,TWO OR MORE RACES,8
131,131,ALABAMA,2013.0,WHITE,786
132,132,ALABAMA,2014.0, ALASKAN NATIVE,1
133,133,ALABAMA,2014.0,AMERICAN INDIAN,1
134,134,ALABAMA,2014.0,ASIAN,1
135,135,ALABAMA,2014.0,BLACK OR AFRICAN AMERICAN ,351
136,136,ALABAMA,2014.0,MISSING,430
137,137,ALABAMA,2014.0,OTHER SINGLE RACE,9
138,138,ALABAMA,2014.0,TWO OR MORE RACES,5
139,139,ALABAMA,2014.0,WHITE,1001
140,140,ALABAMA,2015.0, ALASKAN NATIVE,1
141,141,ALABAMA,2015.0,ASIAN,1
142,142,ALABAMA,2015.0,OTHER SINGLE RACE,12
143,143,ALABAMA,2015.0,TWO OR MORE RACES,9
144,144,ALABAMA,2015.0,AMERICAN INDIAN,4
145,145,ALABAMA,2015.0,BLACK OR AFRICAN AMERICAN ,364
146,146,ALABAMA,2015.0,MISSING,417
147,147,ALABAMA,2015.0,WHITE,982
148,148,ALABAMA,2016.0,ASIAN,4
149,149,ALABAMA,2016.0,OTHER SINGLE RACE,18
150,150,ALABAMA,2016.0,TWO OR MORE RACES,25
151,151,ALABAMA,2016.0,AMERICAN INDIAN,5
152,152,ALABAMA,2016.0,BLACK OR AFRICAN AMERICAN ,430
153,153,ALABAMA,2016.0,MISSING,97
154,154,ALABAMA,2016.0,WHITE,1342
155,155,ALABAMA,2017.0, ALASKAN NATIVE,4
156,156,ALABAMA,2017.0,ASIAN,3
157,157,ALABAMA,2017.0,OTHER SINGLE RACE,39
158,158,ALABAMA,2017.0,TWO OR MORE RACES,39
159,159,ALABAMA,2017.0,AMERICAN INDIAN,7
160,160,ALABAMA,2017.0,BLACK OR AFRICAN AMERICAN ,690
161,161,ALABAMA,2017.0,MISSING,47
162,162,ALABAMA,2017.0,WHITE,2216
163,163,ALABAMA,2018.0, ALASKAN NATIVE,6
164,164,ALABAMA,2018.0,ASIAN,7
165,165,ALABAMA,2018.0,OTHER SINGLE RACE,52
166,166,ALABAMA,2018.0,TWO OR MORE RACES,46
167,167,ALABAMA,2018.0,ASIAN OR PACIFIC ISLANDER,4
168,168,ALABAMA,2018.0,AMERICAN INDIAN,12
169,169,ALABAMA,2018.0,BLACK OR AFRICAN AMERICAN ,959
170,170,ALABAMA,2018.0,MISSING,35
171,171,ALABAMA,2018.0,WHITE,3527
172,172,ALABAMA,2019.0, ALASKAN NATIVE,2
173,173,ALABAMA,2019.0,ASIAN,6
174,174,ALABAMA,2019.0,OTHER SINGLE RACE,114
175,175,ALABAMA,2019.0,TWO OR MORE RACES,75
176,176,ALABAMA,2019.0,ASIAN OR PACIFIC ISLANDER,5
177,177,ALABAMA,2019.0,AMERICAN INDIAN,21
178,178,ALABAMA,2019.0,BLACK OR AFRICAN AMERICAN ,1366
179,179,ALABAMA,2019.0,MISSING,8
180,180,ALABAMA,2019.0,WHITE,5074
181,181,ALASKA,2009.0, ALASKAN NATIVE,870
182,182,ALASKA,2009.0,AMERICAN INDIAN,59
183,183,ALASKA,2009.0,ASIAN,38
184,184,ALASKA,2009.0,BLACK OR AFRICAN AMERICAN ,56
185,185,ALASKA,2009.0,MISSING,32
186,186,ALASKA,2009.0,ASIAN OR PACIFIC ISLANDER,20
187,187,ALASKA,2009.0,OTHER SINGLE RACE,68
188,188,ALASKA,2009.0,TWO OR MORE RACES,214
189,189,ALASKA,2009.0,WHITE,868
190,190,ALASKA,2010.0, ALASKAN NATIVE,1003
